Monday Stage    1000
Tuesday Stage    1001
Wednesday Stage    1002
Thursday Stage    1003
Friday Stage    1004
Weekend Stage (Old)    1005
Cat Ticket Chance!    1006
Seige of Hippoe    1007
Autumn Sports Day (Old)    1008
Loving Labor    1009
Jingle Cat Bell    1010
Happy New Year?    1011
Ritual Happiness    1012
Bears be Bare    1013
Crimson Catastrophe    1014
Heaven of Darkness    1015
Peerless    1016
The Crazed Cat    1017
The Crazed Tank    1018
The Crazed Axe    1019
The Crazed Gross    1020
The Crazed Cow    1021
The Crazed Bird    1022
The Crazed Fish    1023
The Crazed Lizard    1024
The Crazed Titan    1025
Teacher! It's Spring!    1026
Weekend Stage    1027
XP Stage    1028
Love is Sickness    1029
The Forbidden Bride    1030
Never Summer!    1031
Ghostly Houseguests    1032
Monthly Event All-Stars Special Celebration!    1033
Monthly Event All-Stars Ultra Celebration!    1034
Monthly Event All-Stars Miracle Celebration!    1035
Old Guys About Town    1036
Korean Special Stage    1037
Autumn = Sports Day!    1038
Wrath of Heaven    1039
Happy Birthday! No.1    1040
Happy Birthday! No.2    1041
Happy Birthday! No.3    1042
Sweet Irony    1043
Happy 2015!    1044
Actress Awakens!    1045
Kung-Fu Awakens!    1046
Mr. Awakens!    1047
Bondage Awakens!    1048
The Dom Awakens!    1049
Box Cats Awaken!    1050
Panties Awakens!    1051
Tricycle Awakens!    1052
Ninja Awakens!    1053
Zombie Awakens!    1054
Samurai Awakens!    1055
Sumo Awakens!    1056
Boogie Awakens!    1057
Skirt Awakens!    1058
XP Megablitz!    1059
Sweetest Sorrow    1060
Dark Descent    1061
Dark Descent II    1062
Dark Descent III    1063
Dark Descent     1064
The Battle Cats POP!    1065
Dimension of Despair    1066
Baozi  Q Bomb Strikes    1067
20 Mil Downloads Special Gift!    1068
Deadly Carnival    1069
Monthly Event All-Stars Wonderful Celebration!    1070
Minced Meet-Up    1071
All Hallows Road    1072
Mon. Blitz Stage    1073
Tue. Blitz Stage    1074
Wed. Blitz Stage    1075
Thu. Blitz Stage    1076
Fri. Blitz Stage    1077
Facing Danger    1078
Event All-Stars Excellent Celebration!    1079
Birthday Present! (2015)    1080
Jolly St. Nick    1081
Auld Lang Syne    1082
Adult Cat Awakes!    1083
Evil Cat Awakes!    1084
Doll Cats Awake!    1085
Maiden Awakes!    1086
Koi Awakens!    1087
Bride Awakens!    1088
Vacation Awakes!    1089
Vengeance Awakes!    1090
Kung-Fu X Awakens!    1091
Sports Day Awakens!    1092
Salaryman Awakes!    1093
Reindeer Fish Awakens!    1094
Clionel Ascendant    1095
Red Sky at Morning    1096
Growing Green    1097
Growing Purple    1098
Growing Red    1099
Growing Blue    1100
Growing Yellow    1101
Cat Maniac    1102
Tank Maniac    1103
Axe Maniac    1104
Gross Maniac    1105
Cow Maniac    1106
Bird Maniac    1107
Fish Maniac    1108
Lizard Maniac    1109
Titan Maniac    1110
Bad to Worse    1111
Day of Judgement    1112
N/A    1113
Techneurosis    1114
Summer Diary    1115
Mystery Package (1st Version)    1116
River Styx    1117
Catfruit Buffet    1118
Queen's Coronation    1119
Deadly Carnival II    1120
A Cultured Festival (Old)    1121
The Rolling Dead    1122
Birthday Present! (2016)    1123
XP Colosseum    1124
Cats in the Snow    1125
You Nears! (2017)    1126
Day of the Cat    1127
Dead on Debut    1128
Spring Sprang Sprung    1129
Li'l Cat Awakens!    1130
Li'l Tank Awakens!    1131
Li'l Axe Awakens!    1132
Li'l Gross Awakens!    1133
Li'l Cow Awakens!    1134
Li'l Bird Awakens!    1135
Li'l Fish Awakens!    1136
Li'l Lizard Awakens!    1137
Li'l Titan Awakens!    1138
For the Fans    1139
The Midas Touch    1140
N/A    1141
Sliming to Victory (Old)    1142
Cat Kart Awakens!    1143
Nekondo Awakens!    1144
30M Celebration Gifts Galore!    1145
Event All-Stars Grand Jubilee!    1146
Watch & Earn    1147
Flower Cat Awakens!    1148
Summer Lesson    1149
Cavern of Comets    1150
Island of Ash    1151
Strait of Wings    1152
Catburger Awakens!    1153
Silver Week    1154
Merciless XP!    1155
Birthday Present! (2017)    1156
The 2nd Dimension    1157
King Wahwah's Revenge    1158
You Nears! (2018)    1159
Go Go Graduates!    1160
Crazed Moneko    1161
Growing Strange    1162
N/A    1163
Sliming to Victory    1164
Forbidden Bride Pt II    1165
Never Not Summer!    1166
Ghostly Strangers    1167
Old Guys in the City    1168
Crimson Vengeance    1169
Sports Night    1170
Worker's Revolution    1171
Heaven of Darkness    1172
Cybear's Vengeance    1173
A Cultured Festival    1174
Christmas in Space    1175
Peerless Too    1176
Deeply Dreaming    1177
Seeing Red    1178
Seeing Red II    1179
Seeing Red III    1180
Seeing Red     1181
Event All-Stars Super Present DX    1182
Birthday Present! (2018)    1183
Another New Year    1184
Wrath of the Divine    1185
Ritual Confusion    1186
Bitter Irony    1187
You Nears! (2019)    1188
Typhoon Nemo    1189
Deadly Carnival III    1190
40M Celebration Gifts Galore!    1191
Bears Be Back    1192
Dimension of Delirium    1193
Spring for Sensei    1194
Red Sky at Night    1195
Clionel Dominant    1196
Lovesick Again    1197
The Dead Keep Rolling    1198
River Acheron    1199
N/A    1200
Queen's Condemnation    1201
N/A    1202
The 3rd Dimension    1203
Mystery Package (2nd Version)    1204
Dead by Encore    1205
The Battle Cats Together!    1206
King Wahwah's Return    1207
Clan of the Maniacs    1208
Meow Meow Day    1209
Duel on the Prairie    1210
Duel at Sunset    1211
Duel Under the Stars    1212
Duel on the Dunes    1213
A Deeper Dream    1214
Blue Impact    1215
Birthday Present! (2019)    1216
Courts of Torment    1217
Mystery Package (3rd Version)    1218
Papuu's Paradise    1219
The Old Queen    1220
You Nears! (2020)    1221
Growing Epic    1222
Most Defeated 2019    1223
Lunar New Year    1224
Mystery Package (4th Version)    1225
Bottom of the Swamp    1226
Duel at the Lava Fields    1227
50M Celebration Gifts Galore!    1228
Wanwan's Glory    1229
B-Day Gifts    1230
Z-Onel Rises!    1231
First Errand    1232
Isle of the Map Lord    1233
Total War: Spring Special    1234
Total War: Summer Special    1235
Total War: Fall Special    1236
Total War: Winter Special    1237
Tag Arena: Rookie    1238
Tag Arena: Beginner    1239
Tag Arena: Adept    1240
Tag Arena: Pro    1241
Tag Arena: Expert    1242
Top of the Bog    1243
Birthday Present! (2020)    1244
Most Appearances 2020    1245
Prelude to Ruin    1246
Typhoon Nihil    1247
Duel Under the Sea    1248
N/A    1249
The Proving Grounds    1250
The Angel & The Demon    1251
The Queen & The Dead    1252
The King & The Maiden    1253
60M Celebration Gifts Galore!    1254
Arcane Confluence    1255
Servant of Darkness    1256
Wicked Cat    1257
Wicked Tank    1258
The Great Diablo    1259
Hotblodded Ball-Rolling    1260
Hotblooded Challenge Course    1261
Hotblooded Three-Leg Race     1262
Hotblooded Three-Leg Race     1263
Hotblooded Three-Leg Race     1264
Demon's Park    1265
Wicked Axe    1266
Unleashing the Cats    1268
Empress' Report 1    1269
Empress' Report 2    1270
Empress' Report 3    1271
Temptation's Symphony    1272
Rashomon    1273
Growing Evil    1274
Empress' Report 4    1275
Empress' Report 5    1276
N/A    1282
N/A    1283
Birthday Present! (2021)    1284
Top 5 Most Seen Enemies, 2021!    1285
New Year's Bling    1286
Cover of Darkness    1287
